failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
1,110,26281840,91,0,100,12,100,0,85,401386362,79,19246,100,0,100,12,99,1,100,0,100,0,100,1,100,0,76,24,100,0,100,5,93,15789,24,24,100,40,100,40,200,0,100,1.26616E+14,100,23656305296,100,2.27939E+11
1,115,88716600,92,0,100,25,100,0,77,51339476,82,16177,100,0,100,25,100,0,100,0,100,0,100,1,98,2,73,27,100,0,100,13,64,73805,27,27,100,56,100,56,200,3,100,15850,100,22330854269,100,3.06142E+11
1,117,143154896,91,0,100,22,100,0,87,474660411,77,20929,100,0,100,22,100,0,100,0,100,0,100,5,95,5,78,22,100,0,100,5,63,75868,22,22,100,0,100,0,200,2,100,1.67628E+14,100,24986924768,100,2.6642E+11
0,117,164957848,92,0,100,10,100,0,85,340017941,92,7210,100,0,100,9,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,96,8335,32,32,100,0,100,0,200,0,100,7166,100,14736661126,100,1.26608E+11
0,115,91513008,98,0,100,2,100,0,81,153323021,96,4013,100,0,100,2,100,0,100,0,100,0,100,0,100,0,63,37,100,0,100,0,81,39917,37,37,100,0,100,0,200,0,100,3686,100,19959847616,100,6060987817
0,119,218950832,91,0,100,12,100,0,84,243245593,93,6210,100,0,100,12,100,0,100,0,100,0,100,0,100,0,82,18,100,0,100,0,91,19326,18,18,100,0,100,0,200,0,100,6086,100,24712890568,100,11310367347
0,120,239411984,96,0,100,4,100,0,84,243348840,93,6202,100,0,100,4,100,0,100,0,100,0,100,0,100,0,81,19,100,0,100,0,91,19945,19,19,100,0,100,0,200,0,100,6076,100,25115934824,100,6963761840
0,117,138476600,92,0,100,8,100,0,87,541441973,77,20242,100,0,100,8,99,1,100,0,100,0,100,0,95,5,72,28,100,0,100,2,90,21555,28,28,100,0,100,0,200,0,100,1.43409E+13,100,25061334074,100,1.38356E+11
0,117,136536472,99,0,100,1,100,0,77,54895857,99,1377,100,0,100,1,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,95,10436,27,27,100,0,100,0,200,0,100,1247,100,8693212880,100,581683249
0,111,38078728,93,0,100,7,100,0,81,166004320,95,4406,100,0,100,7,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,88,25648,33,33,100,0,100,0,200,0,100,4143,100,20110560576,100,9746254623
0,117,145705176,95,0,100,5,100,0,87,502506556,92,7285,100,0,100,5,100,0,100,0,100,0,100,0,100,0,84,16,100,0,100,0,99,2711,16,16,100,0,100,0,200,0,100,7275,100,15454422273,100,1.23657E+11
0,114,65315848,93,0,100,7,100,0,66,3790306,100,713,100,0,100,6,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,91,18185,32,32,100,0,100,0,200,0,100,395,100,949187304,100,263928361
1,116,103478200,97,0,100,3,100,0,84,246239674,93,6227,100,0,100,3,100,0,100,0,1,168,100,0,100,0,79,21,100,0,100,0,91,19763,21,21,81,3128,81,3128,200,0,100,6103,100,24900702928,100,6806883408
1,117,132229440,97,0,100,3,100,0,86,444492981,89,10136,100,0,100,3,100,0,100,0,99,1,100,0,95,5,66,34,100,0,100,0,96,8447,34,34,100,8,100,8,200,0,100,10088,100,19437334942,100,40886023024
1,117,133873112,93,0,100,7,100,0,87,649893268,76,21668,100,0,100,7,100,0,100,0,100,0,100,0,95,5,79,21,100,0,100,3,97,6512,21,21,100,0,100,0,200,0,100,1.20268E+14,100,28644755484,100,1.31885E+11
1,113,168991520,92,0,100,9,100,8,86,440867202,91,8500,100,0,100,9,100,0,100,0,100,0,100,2,100,0,74,26,100,0,100,0,95,11241,26,26,100,96,100,96,200,0,100,8426,100,20120266057,100,1.95723E+11
1,117,121897864,91,0,100,11,100,0,72,20949675,81,17499,100,0,100,10,100,0,100,0,99,1,100,0,100,0,73,27,100,0,100,1,89,23052,27,27,100,32,100,32,200,0,100,2.75045E+14,100,18993929660,100,75729473454
0,114,64723696,92,0,100,10,100,0,85,340877726,92,7234,100,0,100,9,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,96,8335,33,33,100,0,100,0,200,0,100,7190,100,14762294954,100,1.2664E+11
0,118,180873576,96,0,100,4,100,0,79,95136579,98,2100,100,0,100,4,100,0,100,0,100,0,100,0,100,0,65,35,100,0,100,0,100,1965,35,35,100,0,100,0,200,0,100,2028,100,14138495032,100,1046521320
0,102,3759720,95,0,100,5,100,0,77,52078679,99,1089,100,0,100,5,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,0,100,1496,22,22,100,0,100,0,200,0,100,1053,100,8212146144,100,527997552
0,117,151751576,96,0,100,4,100,0,84,243743459,93,6225,100,0,100,4,100,0,100,0,100,0,100,0,100,0,81,19,100,0,100,0,91,19952,19,19,100,0,100,0,200,0,100,6100,100,25143102616,100,6968010187
0,106,11993560,92,0,100,8,100,0,87,542531464,77,20266,100,0,100,8,99,1,100,0,100,0,100,0,95,5,72,28,100,0,100,2,90,21555,28,28,100,0,100,0,200,0,100,9.3626E+13,100,25069790410,100,1.38382E+11
0,109,24132408,98,0,100,2,100,0,78,67979978,99,1569,100,0,100,2,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,98,4713,31,31,100,0,100,0,200,0,100,1516,100,10849902584,100,696591512
0,120,240968632,93,0,100,7,100,0,81,167536350,95,4430,100,0,100,7,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,88,25648,33,33,100,0,100,0,200,0,100,4167,100,20254245464,100,9766130859
0,118,180078360,97,0,100,3,100,0,88,755260052,89,10355,100,0,100,3,100,0,100,0,100,0,100,0,99,1,74,26,100,0,100,0,98,5478,26,26,100,0,100,0,200,0,100,10332,100,15473453030,100,86157123128
0,117,163055312,99,0,100,1,100,0,75,32743863,99,1046,100,0,100,1,100,0,100,0,100,0,100,0,100,0,71,29,100,0,100,0,97,6772,29,29,100,0,100,0,200,0,100,899,100,5315217480,100,417331439
0,120,239502896,98,0,100,2,100,0,84,256905396,93,6226,100,0,100,2,100,0,100,0,100,0,100,0,100,0,83,17,100,0,100,0,91,19917,17,17,100,0,100,0,200,0,100,6105,100,26145656488,100,10817207567
0,117,124538896,95,0,100,5,100,0,80,101727540,98,2101,100,0,100,4,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,0,100,1880,22,22,100,0,100,0,200,0,100,2015,100,14648499624,100,1116341564
0,111,29835808,91,0,100,16,100,0,88,703166400,82,16492,100,0,100,15,100,0,100,0,100,0,100,0,96,4,78,22,100,0,100,3,54,93820,22,22,100,0,100,0,200,0,100,6.16242E+13,100,15758720354,100,54132397376
0,114,81066536,96,0,100,4,100,0,77,52103557,99,1401,100,0,100,4,100,0,100,0,100,0,100,0,100,0,71,29,100,0,100,0,95,10469,29,29,100,0,100,0,200,0,100,1271,100,8431540736,100,595782042
0,115,98893248,98,0,100,2,100,0,84,235408477,93,6225,100,0,100,2,100,0,100,0,100,0,100,0,100,0,81,19,100,0,100,0,90,21799,19,19,100,0,100,0,200,0,100,6100,100,24244321904,100,6958579525
0,117,129177904,97,0,100,3,100,0,87,4872993633,88,10640,100,0,100,3,100,0,100,0,100,0,100,0,98,2,78,22,100,0,100,0,99,3271,22,22,100,0,100,0,200,0,100,10623,100,18219911574,100,1.25533E+11
1,105,9263512,92,0,100,9,100,0,84,302198100,80,17532,100,0,100,9,99,1,100,0,100,0,100,0,100,0,78,22,100,0,100,2,95,11689,22,22,100,0,100,0,200,0,100,2.52286E+13,100,22553919138,100,2.15034E+11
1,118,193309008,94,0,100,6,100,0,87,606633326,88,10695,100,0,100,6,100,0,100,0,100,0,100,0,98,2,81,19,100,0,100,3,99,2716,19,19,100,40,100,40,200,0,100,10685,100,17414576479,100,1.49476E+11
0,114,61164832,94,0,100,6,100,0,66,3843451,100,761,100,0,100,5,100,0,100,0,100,0,100,0,100,0,71,29,100,0,100,0,90,20634,29,29,100,0,100,0,200,0,100,429,100,1030090080,100,267368943
0,119,211815560,95,0,100,5,100,0,72,20620758,100,689,100,0,100,5,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,1,100,543,24,24,100,0,100,0,200,0,100,684,100,2066374421,100,8836832662
0,119,204556856,97,0,100,3,100,0,84,242757396,93,6249,100,0,100,3,100,0,100,0,100,0,100,0,100,0,80,20,100,0,100,0,91,19486,20,20,100,0,100,0,200,0,100,6128,100,24404451848,100,5909540057
0,118,187239480,98,0,100,2,100,0,75,34726911,99,1071,100,0,100,2,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,6817,31,31,100,0,100,0,200,0,100,927,100,5754214664,100,432653144
0,114,70202840,91,0,100,9,100,0,86,407711198,92,7851,100,0,100,9,100,0,100,0,100,0,100,2,100,0,73,27,100,0,100,0,96,9288,27,27,100,0,100,0,200,0,100,7812,100,20158494957,100,2.00356E+11
0,118,170057192,96,0,100,4,100,0,77,54655605,99,1425,100,0,100,4,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,95,10325,30,30,100,0,100,0,200,0,100,1298,100,8493710192,100,615995166
1,105,129744195,98,0,100,2,100,8,79,98470575,98,2169,100,0,100,2,100,0,100,0,96,4,100,0,100,0,70,30,100,0,100,0,100,1984,30,30,100,0,100,0,200,0,100,2096,100,14508600520,100,1122219524
1,116,115616112,94,0,100,856,100,0,100,962316,100,274,100,0,100,8,99,1,100,0,100,0,100,0,100,0,81,19,100,0,100,303,94,12597,19,19,100,0,100,0,200,0,100,205,100,4675250433,100,287882562
0,114,61164832,94,0,100,6,100,0,66,3849417,100,785,100,0,100,5,100,0,100,0,100,0,100,0,100,0,71,29,100,0,100,0,90,21849,29,29,100,0,100,0,200,0,100,445,100,1030141392,100,267518391
